ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value,1075849148::Comments,1075849172::Physical Only,1075849173::Logical Only,1075849176::Physical Name,1075849458::Default Value,1075849712::Generate SQL 92 Format,1075849713::Is Detach,1075849717::Is Supplied,1075849718::System Generated,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075850737::Schema,1075852160::Generate Using Bind,1075852278::Extended Notes Order  [read only]
"1075839019::38","NULL",Default Value,"","NULL","NULL","","true","false","NULL","","","","","","","NULL","","",""
"1075839019::39","USER",Default Value,"","USER","USER","","true","false","USER","","","","","","","USER","","",""
"1075839019::40","CURRENT_TIMESTAMP",Default Value,"","CURRENT_TIMESTAMP","CURRENT_TIMESTAMP","","true","false","CURRENT_TIMESTAMP","","","","","","","CURRENT_TIMESTAMP","","",""
"1075839019::41","CURRENT_USER",Default Value,"","CURRENT_USER","CURRENT_USER","","true","false","CURRENT_USER","","","","","","","CURRENT_USER","","",""
"1075839019::42","SESSION_USER",Default Value,"","SESSION_USER","SESSION_USER","","true","false","SESSION_USER","","","","","","","SESSION_USER","","",""
"1075839019::43","SYSTEM_USER",Default Value,"","SYSTEM_USER","SYSTEM_USER","","true","false","SYSTEM_USER","","","","","","","SYSTEM_USER","","",""
"1075839019::607","DF_AWBuildVersion_ModifiedDate",Default Value,"","DF_AWBuildVersion_ModifiedDate","getdate()","","","","DF_AWBuildVersion_ModifiedDate","","","","","","DF_AWBuildVersion_ModifiedDate","DF_AWBuildVersion_ModifiedDate","dbo","false",""
"1075839019::632","DF_ErrorLog_ErrorTime",Default Value,"","DF_ErrorLog_ErrorTime","getdate()","","","","DF_ErrorLog_ErrorTime","","","","","","DF_ErrorLog_ErrorTime","DF_ErrorLog_ErrorTime","dbo","false",""
"1075839019::653","DF_Department_ModifiedDate",Default Value,"","DF_Department_ModifiedDate","getdate()","","","","DF_Department_ModifiedDate","","","","","","DF_Department_ModifiedDate","DF_Department_ModifiedDate","HumanResources","false",""
"1075839019::685","DF_Employee_SalariedFlag",Default Value,"","DF_Employee_SalariedFlag","1","","","","DF_Employee_SalariedFlag","","","","","","DF_Employee_SalariedFlag","DF_Employee_SalariedFlag","HumanResources","false",""
"1075839019::689","DF_Employee_VacationHours",Default Value,"","DF_Employee_VacationHours","0","","","","DF_Employee_VacationHours","","","","","","DF_Employee_VacationHours","DF_Employee_VacationHours","HumanResources","false",""
"1075839019::693","DF_Employee_SickLeaveHours",Default Value,"","DF_Employee_SickLeaveHours","0","","","","DF_Employee_SickLeaveHours","","","","","","DF_Employee_SickLeaveHours","DF_Employee_SickLeaveHours","HumanResources","false",""
"1075839019::695","DF_Employee_CurrentFlag",Default Value,"","DF_Employee_CurrentFlag","1","","","","DF_Employee_CurrentFlag","","","","","","DF_Employee_CurrentFlag","DF_Employee_CurrentFlag","HumanResources","false",""
"1075839019::697","DF_Employee_rowguid",Default Value,"","DF_Employee_rowguid","newid()","","","","DF_Employee_rowguid","","","","","","DF_Employee_rowguid","DF_Employee_rowguid","HumanResources","false",""
"1075839019::699","DF_Employee_ModifiedDate",Default Value,"","DF_Employee_ModifiedDate","getdate()","","","","DF_Employee_ModifiedDate","","","","","","DF_Employee_ModifiedDate","DF_Employee_ModifiedDate","HumanResources","false",""
"1075839019::727","DF_EmployeeDepartmentHistory_ModifiedDate",Default Value,"","DF_EmployeeDepartmentHistory_ModifiedDate","getdate()","","","","DF_EmployeeDepartmentHistory_ModifiedDate","","","","","","DF_EmployeeDepartmentHistory_ModifiedDate","DF_EmployeeDepartmentHistory_ModifiedDate","HumanResources","false",""
"1075839019::752","DF_EmployeePayHistory_ModifiedDate",Default Value,"","DF_EmployeePayHistory_ModifiedDate","getdate()","","","","DF_EmployeePayHistory_ModifiedDate","","","","","","DF_EmployeePayHistory_ModifiedDate","DF_EmployeePayHistory_ModifiedDate","HumanResources","false",""
"1075839019::762","DF_JobCandidate_ModifiedDate",Default Value,"","DF_JobCandidate_ModifiedDate","getdate()","","","","DF_JobCandidate_ModifiedDate","","","","","","DF_JobCandidate_ModifiedDate","DF_JobCandidate_ModifiedDate","HumanResources","false",""
"1075839019::777","DF_Shift_ModifiedDate",Default Value,"","DF_Shift_ModifiedDate","getdate()","","","","DF_Shift_ModifiedDate","","","","","","DF_Shift_ModifiedDate","DF_Shift_ModifiedDate","HumanResources","false",""
"1075839019::798","DF_Address_rowguid",Default Value,"","DF_Address_rowguid","newid()","","","","DF_Address_rowguid","","","","","","DF_Address_rowguid","DF_Address_rowguid","Person","false",""
"1075839019::800","DF_Address_ModifiedDate",Default Value,"","DF_Address_ModifiedDate","getdate()","","","","DF_Address_ModifiedDate","","","","","","DF_Address_ModifiedDate","DF_Address_ModifiedDate","Person","false",""
"1075839019::822","DF_AddressType_rowguid",Default Value,"","DF_AddressType_rowguid","newid()","","","","DF_AddressType_rowguid","","","","","","DF_AddressType_rowguid","DF_AddressType_rowguid","Person","false",""
